1aːbmt,/Abend
ɡ2əʃʁ1iːbm,g/eschr/ieben
ɡ2ət1aːn,g/et/an
ɡ2əv1ɪçt,G/ew/icht
ɡ2əz1ɪçt,G/es/icht
ɡl1ʏkl0ɪç,gl/ückl/ich
ɡʁ1ʊp0e,Gr/upp/e
h1ɪlf0e,H/ilf/e
h1ɪnt0ɐ,h/int/er
hø1ːʁ0en,h/ör/en
h1ʊnd0ɐt,h/und/ert
ʝ1eːd0ɐ,j/ed/er
ʝ1ʊŋ0e,J/ung/e
k1ats0e,K/atz/e
k1ɛlt0e,K/ält/e
kø1ːn0ɪç,K/ön/ig
kœ1nt0e,k/önnt/e
kœ1ʁp0ɐ,K/örp/er
k1ʏst0e,K/üst/e
kl1as0e,Kl/ass/e
kl1ɪŋ0en,kl/ing/en
k0op1iː,K/op/ie
l1aːɡ0ɐ,L/ag/er
l1aɛst0e,L/eist/e
l1ɛtst0e,l/etzt/e
l1iːb0e,L/ieb/e
l1ɪst0e,L/ist/e
lʏ1ːɡ0e,L/üg/e
m1aɛl0e,M/eil/e
m1aɛn0e,m/ein/e
m1aʁk0e,M/ark/e
m1as0e,M/ass/e
m1ɛŋ0e,M/eng/e
m1ɪt0e,M/itt/e
m1ʊt0ɐ,M/utt/er
m2aɡn1eːt,M/agn/et
m2et1al,M/et/all
m2om1ɛnt,M/om/ent
m2uz1iːk,M/us/ik
n1aːz0e,N/as/e
n1ɛː0e,N/äh/e
n1oːm0en,N/om/en
p1aɔz0e,P/aus/e
p2ɛʁz1oːn,P/ers/on
pl1aɛt0e,pl/eit/e
pʁ1aks2ɪs,Pr/ax/is
pʁʏ1ːf2ʊŋ,Pr/üf/ung
pʁ2od1ʊkt,Pr/od/ukt
ʁ1aɛ0e,R/eih/e
ʁ1aɛz0e,R/eis/e
ʁ1iːz0ɪç,r/ies/ig
ʁ1ɔl0e,R/oll/e
ʁ1uː0ɪç,r/uh/ig
skl1aːv0e,Skl/av/e
ʃ1aːl0e,Sch/al/e
ʃ1iːn0e,Sch/ien/e
ʃp1aɛç0ɐ,Sp/eich/er
ʃpʁ1aːx0e,Spr/ach/e
ʃpʁ1ɪŋ0en,spr/ing/en
ʃt1eː0en,st/eh/en
ʃt1ɛl0e,St/ell/e
ʃt1ɪm0e,St/imm/e
ʃt1ʊnd0e,St/und/e
ʃtʁ1aːs0e,Str/aß/e
ʃv1ɛst0ɐ,Schw/est/er
ʃv1iːʁ0ɪç,schw/ier/ig
ʃv1ɪm0en,schw/imm/en
t1eːm0aː,Th/em/a
tʁ1ɛn0en,tr/enn/en
tʁɔœ1m0en,tr/äum/en
ts1iː0en,z/ieh/en
ts1ɪm0ɐ,Z/imm/er
ts1ʊk0ɐ,Z/uck/er
v1aːʁ0en,w/ar/en
v1aːʁ0ʊm,w/ar/um
v1eː0ɐdn,w/e/rden
v1ɛl0e,W/ell/e
v1ɛʁb0ʊm,V/erb/um
v1ɛt0ɐ,W/ett/er
v1iːd0ɐ,w/ied/er
v1ɪnts0ɪç,w/inz/ig
v1ɪʁk0ʊŋ,W/irk/ung
vʏ1ːst0e,W/üst/e
z1aɛn0e,s/ein/e
z1aɛt0e,S/eit/e
z1aɔb0ɐ,s/aub/er
z1eː0en,s/eh/en
z1ɛːɡ0e,S/äg/e
z1ɪŋ0en,s/ing/en
z1ɔm0ɐ,S/omm/er
z1ʊf0ɪks,S/uff/ix
z0ʊf1ɪks,S/uff/ix
1ant#v2ɔʁt,/Ant#w/ort
1ant#v2ɔʁtn,/ant#w/orten
1aɔf#ʃt2iːk,/Auf#st/ieg
1aɔf#ts2uːk,/Auf#z/ug
1aɔɡŋ#bl2ɪk,/Augen#bl/ick
1aɔs#dʁ2ʊk,/Aus#dr/uck
1ap#ʃn2ɪt,/Ab#schn/itt
1ap#v2aɛçn,/ab#w/eichen
2ɐf1ɔʁd0ɐn,/erf/ord/ern
1aɛn2ɪɡ0e,/ein/ig/e
1akts2i0e,/Akt/i/e
1alɡ0em2aɛn,/allg/em/ein
1and2əʁ0e,/and/er/e
1anɡ0eb2oːt,/Ang/eb/ot
1an#ʁ2uːf,/An#r/uf
1an#ʃpʁ2ʊx,/An#spr/uch
1an#ts2aːl,/An#z/ahl
1an#ts2uːk,/An#z/ug
1eː0ɐd0e,/Er/d/e
1eː0ɐst0e,/er/st/e
1eːb2ən0e,/Eb/en/e
1oːts2e2aːn,/Oz/e/an
1ʊm#ts2uːk,/Um#z/ug
2aɔɡŋ#bl1ɪk,/Augen#bl/ick
0ɐf1aːʁ2ʊŋ,/Erf/ahr/ung
2ɐɡ1eːpn0ɪs,Er/g/ebn/is
2ɐhø1ː0en,/erh/öh/en
0ɐl1aɛçt0ɐn,/erl/eicht/ern
b0ev1eːɡ0ʊŋ,B/ew/eg/ung
f1oː0ɐʃt2ɛln,v/o/rst/ellen
f1ʊt0ɐm2ɪtl,F/utt/erm/ittel
